year,municipality,barcelona neighbourhoods,concept,status,value
2015,Barcelona,el Raval,employed population (%),,50.4
2015,Barcelona,el Raval,low-skilled workers (%),,18.3
2015,Barcelona,el Raval,population with low studies (%),.., 
2015,Barcelona,el Raval,young population without post-compulsory education (%),.., 
2015,Barcelona,el Raval,foreign population from low or middle income countries (%),,38.5
2015,Barcelona,el Raval,average income per person (€),,8320
2015,Barcelona,el Barri Gòtic,employed population (%),,46.8
2015,Barcelona,el Barri Gòtic,low-skilled workers (%),,9.3
2015,Barcelona,el Barri Gòtic,population with low studies (%),.., 
2015,Barcelona,el Barri Gòtic,young population without post-compulsory education (%),.., 
2015,Barcelona,el Barri Gòtic,foreign population from low or middle income countries (%),,19.7
2015,Barcelona,el Barri Gòtic,average income per person (€),,11309
2015,Barcelona,la Barceloneta,employed population (%),,50.2
2015,Barcelona,la Barceloneta,low-skilled workers (%),,12
2015,Barcelona,la Barceloneta,population with low studies (%),.., 
2015,Barcelona,la Barceloneta,young population without post-compulsory education (%),.., 
2015,Barcelona,la Barceloneta,foreign population from low or middle income countries (%),,16
2015,Barcelona,la Barceloneta,average income per person (€),,10875
2015,Barcelona,"Sant Pere, Santa Caterina i la Ribera",employed population (%),,50.4
2015,Barcelona,"Sant Pere, Santa Caterina i la Ribera",low-skilled workers (%),,9.6
2015,Barcelona,"Sant Pere, Santa Caterina i la Ribera",population with low studies (%),.., 
2015,Barcelona,"Sant Pere, Santa Caterina i la Ribera",young population without post-compulsory education (%),.., 
2015,Barcelona,"Sant Pere, Santa Caterina i la Ribera",foreign population from low or middle income countries (%),,18.7
2015,Barcelona,"Sant Pere, Santa Caterina i la Ribera",average income per person (€),,11534
2015,Barcelona,el Fort Pienc,employed population (%),,60
2015,Barcelona,el Fort Pienc,low-skilled workers (%),,5.6
2015,Barcelona,el Fort Pienc,population with low studies (%),.., 
2015,Barcelona,el Fort Pienc,young population without post-compulsory education (%),.., 
2015,Barcelona,el Fort Pienc,foreign population from low or middle income countries (%),,11.5
2015,Barcelona,el Fort Pienc,average income per person (€),,15505
2015,Barcelona,la Sagrada Família,employed population (%),,61.2
2015,Barcelona,la Sagrada Família,low-skilled workers (%),,6
2015,Barcelona,la Sagrada Família,population with low studies (%),.., 
